child_id,uuid,action
K-F0180-P0970,uuid:873fe380-6d0c-4fed-84ed-2b7a55c63a1d,delete
K-F0182-P0745,uuid:c177ce68-baae-43fa-9813-0c703c4d7365,delete
K-F0182-P0914,uuid:8362bdd1-b9ca-4676-b71d-243b305a5d19,delete
K-F0192-P0172,uuid:16d9abe1-dc66-4425-a363-56bb364efa10,delete
K-F0199-P1081,uuid:9d8a249f-f9de-4f5a-baed-bc01f0a545e0,delete
K-F0204-P0032,uuid:72b1b99a-c0ff-47b3-8e6a-568a9a57b67b,delete
K-F0213-P0364,uuid:021d45d9-cc53-46b6-875b-118b19f19585,delete
K-F0213-P0441,uuid:47ffd4ed-d961-42c7-b7e4-0d630b87cf51,delete
K-F0217-P0810,uuid:d392ea0b-6be2-4c3f-b6a0-7ac8cb429153,delete
K-F0217-P1075,uuid:fdd377ac-74cd-429a-86d8-108662b42209,delete
K-F0218-P4001,uuid:ae995d4d-97f0-4e68-a0b8-681039bc4020,delete
K-F0182-P0630,uuid:e5ae87c5-f5b7-4379-bb83-560e345c8c7b,delete
