old_child_id,uuid,action
T-F0036-P1193,uuid:00500e5c-5f08-47f4-93d6-b149a5a3b99b,delete
T-F0102-P1539,uuid:05b392d0-b8a7-43b2-8f84-9ea6454fc48b,delete
T-F0089-P0311,uuid:9c79b0b2-671d-4d45-8b1d-8fdc1efcdc61,delete
T-F0028-P1582,uuid:e353611a-7666-4659-99ba-4437b6845715,delete
T-F0007-P1444,uuid:e595de36-e26c-4016-8d74-7ad699e6e5e8,delete
T-F0024-P0132,uuid:17cf4cdb-ba38-4f87-ba8d-92d9a5cd56e9,delete
T-F0011-P2010,uuid:19f761fe-5d92-4f00-b035-e6fd09cc0d8c,delete
T-F0002-P0847,uuid:1c8d3485-1e47-474e-a2ca-056d62bdf722,delete
T-F0011-P2279,uuid:263ee216-3a3e-41f7-8664-335c9712ece9,delete
T-F0026-P0703,uuid:3263825f-7970-4b3f-8083-159c43397991,delete
