child_id,uuid,action
I-F2104-P0065,uuid:e43df7cd-88db-44bf-a161-e4eebe17f263,delete
I-F1120-P0026,uuid:ab846a5c-08a6-4013-ba61-f928814950f0,delete
I-F1005-P0200,uuid:d0d03929-c0af-477c-94e4-92117bd5392d,delete
I-F1109-P0145,uuid:b29ab6fc-1636-49ba-adb3-a1c940431142,delete
I-F2111-P0220,uuid:d8e68d0e-7d83-45b3-bc2a-4ab90d0cb630,delete
I-F2115-P0062,uuid:7ce6aeff-6281-4920-b4e6-7ad09d156bc1,delete
I-F3006-P0206,uuid:b70d7609-deac-40f4-b84d-61bc37683b40,delete
I-F3006-P0294,uuid:086f5e5a-9e0e-467c-9133-fd7d60cd637c,delete
I-F0307-P0058,uuid:c637a4b5-7db2-49b7-ad0d-5bfcbed920d5,delete
I-F2028-P0119,uuid:05012ee9-c878-4cde-819e-ec6b6bbca36d,delete
I-F0303-P0117,uuid:feabc474-da47-4391-8568-340caa256498,delete
I-F3013-P0051,uuid:b16fc966-8638-4b9b-8a16-96d3dcc56210,delete
I-F3013-P0054,uuid:644ae723-97be-49c5-9e4b-f8c83bfca611,delete
I-F0278-P0043,uuid:5af9a1db-5b93-4a1d-8146-3b4dbe4b1e3e,delete
I-F3114-P0632,uuid:0ef54a88-7571-4d69-ac1b-4d441ba822d8,delete
I-F3114-P0653,uuid:5ec6a5c9-b1c0-4125-8603-0fc6d293ce51,delete
I-F0302-P0356,uuid:c16a5480-fc50-42aa-a6b7-9a4288b6df11,delete
