old_child_id,uuid,new_child_id,reason,action
I-F0304-P0002,uuid:5507a98e-226a-41fe-8873-6868606101d1,I-F0304-P0559,manual error,correct
I-F0304-P0002,uuid:4105d32c-7656-4fcf-92f2-3465d4e7b339,I-F0304-P0559,manual error,correct
I-F0304-P0003,uuid:f9b657e9-e496-4f93-9a85-4ef5c382b686,I-F0304-P0560,manual error,correct
I-F0304-P0004,uuid:f770d4a7-a65c-4078-a4e3-eec2830afcf2,I-F0304-P0561,manual error,correct
I-F0304-P0006,uuid:736cf73a-309e-4277-b769-da4554a88d1b,I-F0304-P0563,manual error,correct
I-F0304-P0008,uuid:125a5462-0c02-4c20-9ae4-58e976e616fc,I-F0304-P0564,manual error,correct
I-F0304-P0010,uuid:d49ee019-65ba-4bbc-9d6e-2cdbcc193ce8,I-F0304-P0562,manual error,correct
I-F0304-P0011,uuid:9b8c5d83-cf8b-4a3c-a316-c81059af3d62,I-F0304-P0566,manual error,correct
I-F0304-P0012,uuid:daaaed5a-58d4-4edd-8e87-0a644ebc9b7e,I-F0304-P0567,manual error,correct
I-F0304-P0012,uuid:f467f2be-81ea-4ca8-8a41-2d91f834420d,I-F0304-P0567,manual error,correct
I-F0304-P0013,uuid:6aadf160-eaf4-4b0e-84e2-9ae974ce5d89,I-F0304-P0568,manual error,correct
I-F0304-P0015,uuid:7ae99db9-e3c5-4d98-bc11-ec68f8e1fa9f,I-F0304-P0570,manual error,correct
I-F0304-P0016,uuid:4b70d6ae-4220-448e-9be6-95bf34451052,I-F0304-P0571,manual error,correct
I-F0304-P0016,uuid:31f82ef8-7d97-4d6d-a5d7-c4bd8acfd94d,I-F0304-P0571,manual error,correct
I-F0304-P0017,uuid:0f718b27-ad8a-4856-a6b6-422ef19afafd,I-F0304-P0572,manual error,correct
I-F0304-P0019,uuid:afbda03f-09dc-4b4d-b932-d7d62f121e7f,I-F0304-P0574,manual error,correct
I-F0304-P0020,uuid:e4940ed4-5e04-4687-85f3-0775d38f805b,I-F0304-P0575,manual error,correct
I-F0304-P0021,uuid:a31b7967-5488-44ba-bad4-b12bedb74539,I-F0304-P0576,manual error,correct
