old_deviceid;new_deviceid;uuid
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:95677fa5-3e98-46b1-a4c1-e38d911fff86
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:c498c943-7371-4999-9b9c-22cf0b1b7786
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:2ab1da88-393f-405d-b353-9772957df25c
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:27587bc3-df2f-4854-b93b-547ebd3fc644
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:08146b13-2452-4476-a4df-413a9f1407c5
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:d4b47619-21d1-4bbe-bee2-12e872f2906a
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:8a2f48ff-c08f-4ca4-821b-5c49a57a5653
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:dd79b9d9-fbfb-4f26-a456-314c837e634f
collect:Gfd2kUQFESzhAkQU;collect:Ugr1sPs1ezx6bJAP;uuid:79b6a271-afff-4464-816b-f28cbf211a6d
;;uuid:b2bc0b76-0aef-4a38-a073-b76130d6af88
;;uuid:f382b39e-be43-4447-876c-ee095665a9bc
;;uuid:407ee5b7-df26-4858-8188-56ef329db97e
